TrialType,Delta,StartTime,EndTime,Success
0,0,1737027388843,1737027389442,1
0,0,1737027389442,1737027390420,1
0,0,1737027390421,1737027391420,1
0,0,1737027391420,1737027392465,1
0,0,1737027392465,1737027393364,1
0,0,1737027393364,1737027394276,1
0,0,1737027394276,1737027395620,1
0,0,1737027395620,1737027396420,1
0,0,1737027396420,1737027397253,1
0,0,1737027397254,1737027398510,1
0,0,1737027398510,1737027399243,1
0,0,1737027399243,1737027400709,1
0,0,1737027400709,1737027401530,1
0,0,1737027401530,1737027402620,1
0,0,1737027402620,1737027403252,1
0,0,1737027403252,1737027404575,1
0,0,1737027404576,1737027405352,1
0,0,1737027405352,1737027406209,1
0,0,1737027406209,1737027407696,1
0,0,1737027407696,1737027408751,1
0,0,1737027408751,1737027409619,1
0,0,1737027409620,1737027410397,1
0,0,1737027410397,1737027411253,1
0,0,1737027411253,1737027412897,1
0,0,1737027412897,1737027414552,1
0,0,1737027414552,1737027415385,1
0,0,1737027415385,1737027415851,1
0,0,1737027415852,1737027416630,1
0,0,1737027416631,1737027417519,1
0,0,1737027417519,1737027418497,1
0,0,1737027418497,1737027419230,1
0,0,1737027419230,1737027421229,1
0,0,1737027421229,1737027423319,1
0,0,1737027423319,1737027424340,1
0,0,1737027424340,1737027425341,1
0,0,1737027425341,1737027426320,1
0,0,1737027426320,1737027427218,1
0,0,1737027427218,1737027428250,1
0,0,1737027428251,1737027429552,1
0,0,1737027429552,1737027430674,1
0,0,1737027430674,1737027432328,1
0,0,1737027432329,1737027433474,1
0,0,1737027433474,1737027434174,1
0,0,1737027434174,1737027434950,1
0,0,1737027434951,1737027435852,1
0,0,1737027435853,1737027437285,1
0,0,1737027437285,1737027438207,1
0,0,1737027438207,1737027439097,1
0,0,1737027439097,1737027439929,1
0,0,1737027439929,1737027440617,1
0,0,1737027440618,1737027441429,1
0,0,1737027441429,1737027442462,1
0,0,1737027442462,1737027443396,1
0,0,1737027443396,1737027444173,1
0,0,1737027444173,1737027444916,1
0,0,1737027444917,1737027445963,1
0,0,1737027445963,1737027446807,1
0,0,1737027446807,1737027447895,1
0,0,1737027447895,1737027449306,1
0,0,1737027449306,1737027450251,1
0,0,1737027450251,1737027450829,1
0,0,1737027450830,1737027451696,1
0,0,1737027451696,1737027452573,1
0,0,1737027452573,1737027453474,1
0,0,1737027453474,1737027454316,1
0,0,1737027454317,1737027454807,1
0,0,1737027454807,1737027455807,1
0,0,1737027455807,1737027456872,1
0,0,1737027456873,1737027458407,1
0,0,1737027458407,1737027459296,1
0,0,1737027459297,1737027460262,1
0,0,1737027460262,1737027461339,1
0,0,1737027461339,1737027462540,1
0,0,1737027462540,1737027463396,1
0,0,1737027463396,1737027464107,1
0,0,1737027464107,1737027465007,1
0,0,1737027465007,1737027466040,1
0,0,1737027466040,1737027466817,1
0,0,1737027466817,1737027467528,1
0,0,1737027467528,1737027468273,1
0,0,1737027468273,1737027469028,1
0,0,1737027469028,1737027469817,1
0,0,1737027469817,1737027470706,1
0,0,1737027470706,1737027471905,1
0,0,1737027471905,1737027472950,1
0,0,1737027472950,1737027474306,1
0,0,1737027474306,1737027475006,1
0,0,1737027475006,1737027475684,1
0,0,1737027475684,1737027476484,1
0,0,1737027476484,1737027477271,1
0,0,1737027477271,1737027479027,1
0,0,1737027479028,1737027480437,1
0,0,1737027480437,1737027480826,1
0,0,1737027480826,1737027481882,1
0,0,1737027481882,1737027482648,1
0,0,1737027482649,1737027483405,1
0,0,1737027483406,1737027484583,1
0,0,1737027484583,1737027485414,1
0,0,1737027485414,1737027486282,1
0,0,1737027486282,1737027487348,1
0,0,1737027487348,1737027488092,1
0,0,1737027488092,1737027489770,1
0,0,1737027489770,1737027491161,1
0,0,1737027491161,1737027491905,1
0,0,1737027491905,1737027492793,1
0,0,1737027492793,1737027493535,1
0,0,1737027493535,1737027494516,1
0,0,1737027494516,1737027495237,1
0,0,1737027495237,1737027496560,1
0,0,1737027496560,1737027497381,1
0,0,1737027497381,1737027497928,1
0,0,1737027497928,1737027498870,1
0,0,1737027498870,1737027499726,1
0,0,1737027499726,1737027500670,1
0,0,1737027500670,1737027501427,1
0,0,1737027501428,1737027502281,1
0,0,1737027502281,1737027503134,1
0,0,1737027503135,1737027503902,1
0,0,1737027503902,1737027504915,1
0,0,1737027504915,1737027505636,1
0,0,1737027505636,1737027506415,1
0,0,1737027506415,1737027507325,1
0,0,1737027507325,1737027509791,1
0,0,1737027509791,1737027510757,1
0,0,1737027510757,1737027511782,1
0,0,1737027511782,1737027512870,1
0,0,1737027512870,1737027513503,1
0,0,1737027513503,1737027514659,1
0,0,1737027514659,1737027515593,1
0,0,1737027515593,1737027516559,1
0,0,1737027516560,1737027517248,1
0,0,1737027517248,1737027518301,1
0,0,1737027518301,1737027519390,1
0,0,1737027519391,1737027520269,1
0,0,1737027520270,1737027521169,1
0,0,1737027521169,1737027522159,1
0,0,1737027522160,1737027523136,1
0,0,1737027523136,1737027523849,1
0,0,1737027523849,1737027524981,1
0,0,1737027524981,1737027525637,1
0,0,1737027525637,1737027526731,1
0,0,1737027526731,1737027527799,1
0,0,1737027527799,1737027528369,1
0,0,1737027528369,1737027529480,1
0,0,1737027529480,1737027530491,1
0,0,1737027530491,1737027531481,1
0,0,1737027531481,1737027532315,1
0,0,1737027532315,1737027533601,1
0,0,1737027533601,1737027534691,1
0,0,1737027534692,1737027535369,1
0,0,1737027535369,1737027535859,1
0,0,1737027535859,1737027536913,1
0,0,1737027536913,1737027537770,1
0,0,1737027537770,1737027538380,1
0,0,1737027538381,1737027539358,1
0,0,1737027539358,1737027540335,1
0,0,1737027540335,1737027541424,1
0,0,1737027541424,1737027542569,1
0,0,1737027542569,1737027543422,1
0,0,1737027543422,1737027544434,1
0,0,1737027544434,1737027545290,1
0,0,1737027545291,1737027546180,1
0,0,1737027546180,1737027546857,1
0,0,1737027546858,1737027548423,1
0,0,1737027548423,1737027549489,1
0,0,1737027549489,1737027550336,1
0,0,1737027550337,1737027551358,1
0,0,1737027551358,1737027552334,1
0,0,1737027552334,1737027553300,1
0,0,1737027553301,1737027554155,1
0,0,1737027554155,1737027555601,1
0,0,1737027555601,1737027556779,1
0,0,1737027556779,1737027557357,1
0,0,1737027557357,1737027558403,1
0,0,1737027558403,1737027559085,1
0,0,1737027559085,1737027559611,1
0,0,1737027559611,1737027560401,1
0,0,1737027560401,1737027561300,1
0,0,1737027561300,1737027562112,1
0,0,1737027562112,1737027563212,1
0,0,1737027563212,1737027564068,1
0,0,1737027564068,1737027565111,1
0,0,1737027565111,1737027566175,1
0,0,1737027566175,1737027567145,1
0,0,1737027567145,1737027568124,1
0,0,1737027568124,1737027568790,1
0,0,1737027568790,1737027569746,1
0,0,1737027569746,1737027571190,1
0,0,1737027571190,1737027572224,1
0,0,1737027572224,1737027573157,1
0,0,1737027573157,1737027574246,1
0,0,1737027574246,1737027574478,0
3,0,1737027734651,1737027735950,1
3,0,1737027735950,1737027736505,1
3,24300,1737027736505,1737027739794,1
3,16200,1737027739794,1737027744737,1
3,16200,1737027744737,1737027751303,1
3,8100,1737027751303,1737027754427,1
3,8100,1737027754427,1737027760535,1
3,8100,1737027760536,1737027766078,1
3,0,1737027766078,1737027767093,1
3,8100,1737027767093,1737027769325,1
3,8100,1737027769325,1737027771148,1
3,24300,1737027771148,1737027776915,1
3,0,1737027776915,1737027777760,1
3,24300,1737027777760,1737027780281,1
3,8100,1737027780281,1737027783501,1
3,24300,1737027783502,1737027790670,1
3,16200,1737027790670,1737027795002,1
3,24300,1737027795002,1737027799789,1
3,16200,1737027799789,1737027806424,1
3,8100,1737027806424,1737027811490,1
3,16200,1737027811490,1737027815235,1
3,16200,1737027815235,1737027821190,1
3,24300,1737027821191,1737027827145,1
3,24300,1737027827145,1737027829100,1
3,16200,1737027829100,1737027832978,1
3,0,1737027832978,1737027834045,1
3,16200,1737027834046,1737027836901,1
3,16200,1737027836901,1737027842356,1
3,24300,1737027842357,1737027847255,1
3,8100,1737027847255,1737027852567,1
3,0,1737027852568,1737027853956,1
3,8100,1737027853956,1737027856078,1
3,0,1737027856078,1737027856578,1
3,8100,1737027856578,1737027859155,1
3,0,1737027859155,1737027860273,1
3,8100,1737027860273,1737027863232,1
3,0,1737027863232,1737027863876,1
3,8100,1737027863876,1737027869022,1
3,16200,1737027869022,1737027872143,1
3,8100,1737027872143,1737027874487,1
3,8100,1737027874487,1737027878987,1
3,0,1737027878987,1737027879965,1
3,8100,1737027879965,1737027881931,1
3,24300,1737027881931,1737027888953,1
3,24300,1737027888953,1737027895639,1
3,16200,1737027895640,1737027899298,1
3,16200,1737027899298,1737027905152,1
3,24300,1737027905152,1737027907797,1
3,0,1737027907797,1737027908294,1
3,24300,1737027908295,1737027910673,1
3,24300,1737027910673,1737027913529,1
3,24300,1737027913530,1737027918362,1
3,24300,1737027918362,1737027920951,1
3,0,1737027920951,1737027921974,1
3,0,1737027921974,1737027923040,1
3,24300,1737027923041,1737027925961,1
3,24300,1737027925961,1737027928852,1
3,16200,1737027928852,1737027932062,1
3,16200,1737027932063,1737027938562,1
3,0,1737027938562,1737027939651,1
3,16200,1737027939651,1737027943274,1
3,8100,1737027943274,1737027947408,1
3,24300,1737027947408,1737027949540,1
3,0,1737027949540,1737027950463,1
3,24300,1737027950463,1737027953373,1
3,24300,1737027953373,1737027955761,1
3,0,1737027955761,1737027957074,1
3,24300,1737027957074,1737027961784,1
3,24300,1737027961784,1737027963783,1
3,24300,1737027963783,1737027968762,1
3,24300,1737027968762,1737027971206,1
3,0,1737027971206,1737027972406,1
3,0,1737027972406,1737027973239,1
3,8100,1737027973239,1737027974660,0
2,0,1737028113175,1737028115275,1
2,0,1737028115275,1737028116132,1
2,0,1737028116132,1737028116644,1
2,24300,1737028116644,1737028118999,1
2,16200,1737028119000,1737028124376,1
2,8100,1737028124376,1737028129220,1
2,8100,1737028129220,1737028131287,1
2,8100,1737028131287,1737028133153,1
2,24300,1737028133153,1737028137253,1
2,0,1737028137253,1737028138178,1
2,8100,1737028138178,1737028141731,1
2,8100,1737028141731,1737028143486,1
2,0,1737028143486,1737028143963,1
2,16200,1737028143964,1737028147164,1
2,24300,1737028147164,1737028149641,1
2,0,1737028149641,1737028150686,1
2,24300,1737028150687,1737028155319,1
2,0,1737028155319,1737028156298,1
2,16200,1737028156298,1737028159509,1
2,24300,1737028159509,1737028161618,1
2,24300,1737028161618,1737028165764,1
2,24300,1737028165764,1737028167607,1
2,16200,1737028167608,1737028170563,1
